Region,Dosis,edad,accumulated_vaccinated,start_date
Total,Primera,15,29.0,2021-04-06
Total,Primera,16,9440.0,2021-04-06
Total,Primera,17,10648.0,2021-04-06
Total,Primera,18,24353.0,2021-04-06
Total,Primera,19,31816.0,2021-04-06
Total,Primera,20,37187.0,2021-04-06
Total,Primera,21,42118.0,2021-04-06
Total,Primera,22,49923.0,2021-04-06
Total,Primera,23,57655.0,2021-04-06
Total,Primera,24,65238.0,2021-04-06
Total,Primera,25,71410.0,2021-04-06
Total,Primera,26,77874.0,2021-04-06
Total,Primera,27,81516.0,2021-04-06
Total,Primera,28,85790.0,2021-04-06
Total,Primera,29,90033.0,2021-04-06
Total,Primera,30,94987.0,2021-04-06
Total,Primera,31,97256.0,2021-04-06
Total,Primera,32,95810.0,2021-04-06
Total,Primera,33,92908.0,2021-04-06
Total,Primera,34,90648.0,2021-04-06
Total,Primera,35,87789.0,2021-04-06
Total,Primera,36,86769.0,2021-04-06
Total,Primera,37,85867.0,2021-04-06
Total,Primera,38,90265.0,2021-04-06
Total,Primera,39,91634.0,2021-04-06
Total,Primera,40,88036.0,2021-04-06
Total,Primera,41,86913.0,2021-04-06
Total,Primera,42,84488.0,2021-04-06
Total,Primera,43,83865.0,2021-04-06
Total,Primera,44,86289.0,2021-04-06
Total,Primera,45,90652.0,2021-04-06
Total,Primera,46,93656.0,2021-04-06
Total,Primera,47,95174.0,2021-04-06
Total,Primera,48,97095.0,2021-04-06
Total,Primera,49,99055.0,2021-04-06
Total,Primera,50,109227.0,2021-04-06
Total,Primera,51,140911.0,2021-04-06
Total,Primera,52,158247.0,2021-04-06
Total,Primera,53,163495.0,2021-04-06
Total,Primera,54,169004.0,2021-04-06
Total,Primera,55,174172.0,2021-04-06
Total,Primera,56,176989.0,2021-04-06
Total,Primera,57,178926.0,2021-04-06
Total,Primera,58,181976.0,2021-04-06
Total,Primera,59,176505.0,2021-04-06
Total,Primera,60,182185.0,2021-04-06
Total,Primera,61,170629.0,2021-04-06
Total,Primera,62,167203.0,2021-04-06
Total,Primera,63,165706.0,2021-04-06
Total,Primera,64,158424.0,2021-04-06
Total,Primera,65,153784.0,2021-04-06
Total,Primera,66,142171.0,2021-04-06
Total,Primera,67,141686.0,2021-04-06
Total,Primera,68,130150.0,2021-04-06
Total,Primera,69,121509.0,2021-04-06
Total,Primera,70,115271.0,2021-04-06
Total,Primera,71,111108.0,2021-04-06
Total,Primera,72,107067.0,2021-04-06
Total,Primera,73,101313.0,2021-04-06
Total,Primera,74,95513.0,2021-04-06
Total,Primera,75,90109.0,2021-04-06
Total,Primera,76,84965.0,2021-04-06
Total,Primera,77,77370.0,2021-04-06
Total,Primera,78,72872.0,2021-04-06
Total,Primera,79,66247.0,2021-04-06
Total,Primera,80,472434.0,2021-04-06
Total,Segunda,15,2.0,2021-04-06
Total,Segunda,16,217.0,2021-04-06
Total,Segunda,17,384.0,2021-04-06
Total,Segunda,18,3847.0,2021-04-06
Total,Segunda,19,7290.0,2021-04-06
Total,Segunda,20,9248.0,2021-04-06
Total,Segunda,21,12300.0,2021-04-06
Total,Segunda,22,17241.0,2021-04-06
Total,Segunda,23,23053.0,2021-04-06
Total,Segunda,24,29493.0,2021-04-06
Total,Segunda,25,34783.0,2021-04-06
Total,Segunda,26,39599.0,2021-04-06
Total,Segunda,27,42923.0,2021-04-06
Total,Segunda,28,45931.0,2021-04-06
Total,Segunda,29,47772.0,2021-04-06
Total,Segunda,30,49980.0,2021-04-06
Total,Segunda,31,50879.0,2021-04-06
Total,Segunda,32,49384.0,2021-04-06
Total,Segunda,33,46980.0,2021-04-06
Total,Segunda,34,45812.0,2021-04-06
Total,Segunda,35,43371.0,2021-04-06
Total,Segunda,36,42342.0,2021-04-06
Total,Segunda,37,40649.0,2021-04-06
Total,Segunda,38,42045.0,2021-04-06
Total,Segunda,39,41414.0,2021-04-06
Total,Segunda,40,39465.0,2021-04-06
Total,Segunda,41,37135.0,2021-04-06
Total,Segunda,42,35021.0,2021-04-06
Total,Segunda,43,33985.0,2021-04-06
Total,Segunda,44,34065.0,2021-04-06
Total,Segunda,45,34653.0,2021-04-06
Total,Segunda,46,35257.0,2021-04-06
Total,Segunda,47,35124.0,2021-04-06
Total,Segunda,48,34600.0,2021-04-06
Total,Segunda,49,33466.0,2021-04-06
Total,Segunda,50,32335.0,2021-04-06
Total,Segunda,51,31382.0,2021-04-06
Total,Segunda,52,32205.0,2021-04-06
Total,Segunda,53,32329.0,2021-04-06
Total,Segunda,54,33835.0,2021-04-06
Total,Segunda,55,35701.0,2021-04-06
Total,Segunda,56,56359.0,2021-04-06
Total,Segunda,57,60213.0,2021-04-06
Total,Segunda,58,68223.0,2021-04-06
Total,Segunda,59,72166.0,2021-04-06
Total,Segunda,60,134495.0,2021-04-06
Total,Segunda,61,134926.0,2021-04-06
Total,Segunda,62,136834.0,2021-04-06
Total,Segunda,63,138743.0,2021-04-06
Total,Segunda,64,134893.0,2021-04-06
Total,Segunda,65,138772.0,2021-04-06
Total,Segunda,66,129576.0,2021-04-06
Total,Segunda,67,130351.0,2021-04-06
Total,Segunda,68,120127.0,2021-04-06
Total,Segunda,69,112614.0,2021-04-06
Total,Segunda,70,107401.0,2021-04-06
Total,Segunda,71,104091.0,2021-04-06
Total,Segunda,72,100500.0,2021-04-06
Total,Segunda,73,95271.0,2021-04-06
Total,Segunda,74,89768.0,2021-04-06
Total,Segunda,75,84844.0,2021-04-06
Total,Segunda,76,80008.0,2021-04-06
Total,Segunda,77,72859.0,2021-04-06
Total,Segunda,78,68492.0,2021-04-06
Total,Segunda,79,62356.0,2021-04-06
Total,Segunda,80,440941.0,2021-04-06
Ignorada,Primera,15,0.0,2021-04-06
Ignorada,Primera,16,0.0,2021-04-06
Ignorada,Primera,17,0.0,2021-04-06
Ignorada,Primera,18,0.0,2021-04-06
Ignorada,Primera,19,0.0,2021-04-06
Ignorada,Primera,20,1.0,2021-04-06
Ignorada,Primera,21,0.0,2021-04-06
Ignorada,Primera,22,1.0,2021-04-06
Ignorada,Primera,23,3.0,2021-04-06
Ignorada,Primera,24,0.0,2021-04-06
Ignorada,Primera,25,2.0,2021-04-06
Ignorada,Primera,26,0.0,2021-04-06
Ignorada,Primera,27,3.0,2021-04-06
Ignorada,Primera,28,0.0,2021-04-06
Ignorada,Primera,29,2.0,2021-04-06
Ignorada,Primera,30,1.0,2021-04-06
Ignorada,Primera,31,2.0,2021-04-06
Ignorada,Primera,32,1.0,2021-04-06
Ignorada,Primera,33,2.0,2021-04-06
Ignorada,Primera,34,0.0,2021-04-06
Ignorada,Primera,35,1.0,2021-04-06
Ignorada,Primera,36,2.0,2021-04-06
Ignorada,Primera,37,0.0,2021-04-06
Ignorada,Primera,38,1.0,2021-04-06
Ignorada,Primera,39,2.0,2021-04-06
Ignorada,Primera,40,1.0,2021-04-06
Ignorada,Primera,41,0.0,2021-04-06
Ignorada,Primera,42,2.0,2021-04-06
Ignorada,Primera,43,2.0,2021-04-06
Ignorada,Primera,44,4.0,2021-04-06
Ignorada,Primera,45,0.0,2021-04-06
Ignorada,Primera,46,0.0,2021-04-06
Ignorada,Primera,47,1.0,2021-04-06
Ignorada,Primera,48,2.0,2021-04-06
Ignorada,Primera,49,1.0,2021-04-06
Ignorada,Primera,50,1.0,2021-04-06
Ignorada,Primera,51,1.0,2021-04-06
Ignorada,Primera,52,3.0,2021-04-06
Ignorada,Primera,53,1.0,2021-04-06
Ignorada,Primera,54,1.0,2021-04-06
Ignorada,Primera,55,2.0,2021-04-06
Ignorada,Primera,56,0.0,2021-04-06
Ignorada,Primera,57,2.0,2021-04-06
Ignorada,Primera,58,4.0,2021-04-06
Ignorada,Primera,59,2.0,2021-04-06
Ignorada,Primera,60,3.0,2021-04-06
Ignorada,Primera,61,2.0,2021-04-06
Ignorada,Primera,62,3.0,2021-04-06
Ignorada,Primera,63,0.0,2021-04-06
Ignorada,Primera,64,3.0,2021-04-06
Ignorada,Primera,65,0.0,2021-04-06
Ignorada,Primera,66,2.0,2021-04-06
Ignorada,Primera,67,1.0,2021-04-06
Ignorada,Primera,68,0.0,2021-04-06
Ignorada,Primera,69,1.0,2021-04-06
Ignorada,Primera,70,1.0,2021-04-06
Ignorada,Primera,71,1.0,2021-04-06
Ignorada,Primera,72,1.0,2021-04-06
Ignorada,Primera,73,0.0,2021-04-06
Ignorada,Primera,74,1.0,2021-04-06
Ignorada,Primera,75,2.0,2021-04-06
Ignorada,Primera,76,0.0,2021-04-06
Ignorada,Primera,77,0.0,2021-04-06
Ignorada,Primera,78,0.0,2021-04-06
Ignorada,Primera,79,0.0,2021-04-06
Ignorada,Primera,80,2.0,2021-04-06
Ignorada,Segunda,15,0.0,2021-04-06
Ignorada,Segunda,16,0.0,2021-04-06
Ignorada,Segunda,17,0.0,2021-04-06
Ignorada,Segunda,18,0.0,2021-04-06
Ignorada,Segunda,19,0.0,2021-04-06
Ignorada,Segunda,20,0.0,2021-04-06
Ignorada,Segunda,21,0.0,2021-04-06
Ignorada,Segunda,22,0.0,2021-04-06
Ignorada,Segunda,23,1.0,2021-04-06
Ignorada,Segunda,24,0.0,2021-04-06
Ignorada,Segunda,25,1.0,2021-04-06
Ignorada,Segunda,26,0.0,2021-04-06
Ignorada,Segunda,27,1.0,2021-04-06
Ignorada,Segunda,28,0.0,2021-04-06
Ignorada,Segunda,29,0.0,2021-04-06
Ignorada,Segunda,30,0.0,2021-04-06
Ignorada,Segunda,31,0.0,2021-04-06
Ignorada,Segunda,32,0.0,2021-04-06
Ignorada,Segunda,33,0.0,2021-04-06
Ignorada,Segunda,34,0.0,2021-04-06
Ignorada,Segunda,35,0.0,2021-04-06
Ignorada,Segunda,36,1.0,2021-04-06
Ignorada,Segunda,37,0.0,2021-04-06
Ignorada,Segunda,38,1.0,2021-04-06
Ignorada,Segunda,39,1.0,2021-04-06
Ignorada,Segunda,40,1.0,2021-04-06
Ignorada,Segunda,41,0.0,2021-04-06
Ignorada,Segunda,42,0.0,2021-04-06
Ignorada,Segunda,43,1.0,2021-04-06
Ignorada,Segunda,44,1.0,2021-04-06
Ignorada,Segunda,45,0.0,2021-04-06
Ignorada,Segunda,46,0.0,2021-04-06
Ignorada,Segunda,47,0.0,2021-04-06
Ignorada,Segunda,48,0.0,2021-04-06
Ignorada,Segunda,49,1.0,2021-04-06
Ignorada,Segunda,50,0.0,2021-04-06
Ignorada,Segunda,51,0.0,2021-04-06
Ignorada,Segunda,52,0.0,2021-04-06
Ignorada,Segunda,53,0.0,2021-04-06
Ignorada,Segunda,54,1.0,2021-04-06
Ignorada,Segunda,55,0.0,2021-04-06
Ignorada,Segunda,56,0.0,2021-04-06
Ignorada,Segunda,57,1.0,2021-04-06
Ignorada,Segunda,58,1.0,2021-04-06
Ignorada,Segunda,59,1.0,2021-04-06
Ignorada,Segunda,60,1.0,2021-04-06
Ignorada,Segunda,61,1.0,2021-04-06
Ignorada,Segunda,62,2.0,2021-04-06
Ignorada,Segunda,63,0.0,2021-04-06
Ignorada,Segunda,64,2.0,2021-04-06
Ignorada,Segunda,65,0.0,2021-04-06
Ignorada,Segunda,66,2.0,2021-04-06
Ignorada,Segunda,67,1.0,2021-04-06
Ignorada,Segunda,68,0.0,2021-04-06
Ignorada,Segunda,69,1.0,2021-04-06
Ignorada,Segunda,70,1.0,2021-04-06
Ignorada,Segunda,71,1.0,2021-04-06
Ignorada,Segunda,72,1.0,2021-04-06
Ignorada,Segunda,73,0.0,2021-04-06
Ignorada,Segunda,74,1.0,2021-04-06
Ignorada,Segunda,75,2.0,2021-04-06
Ignorada,Segunda,76,0.0,2021-04-06
Ignorada,Segunda,77,0.0,2021-04-06
Ignorada,Segunda,78,0.0,2021-04-06
Ignorada,Segunda,79,0.0,2021-04-06
Ignorada,Segunda,80,2.0,2021-04-06
Metropolitana,Primera,15,12.0,2021-04-06
Metropolitana,Primera,16,3891.0,2021-04-06
Metropolitana,Primera,17,4320.0,2021-04-06
Metropolitana,Primera,18,9204.0,2021-04-06
Metropolitana,Primera,19,12055.0,2021-04-06
Metropolitana,Primera,20,14906.0,2021-04-06
Metropolitana,Primera,21,17169.0,2021-04-06
Metropolitana,Primera,22,20210.0,2021-04-06
Metropolitana,Primera,23,23326.0,2021-04-06
Metropolitana,Primera,24,26343.0,2021-04-06
Metropolitana,Primera,25,29279.0,2021-04-06
Metropolitana,Primera,26,32121.0,2021-04-06
Metropolitana,Primera,27,33300.0,2021-04-06
Metropolitana,Primera,28,34908.0,2021-04-06
Metropolitana,Primera,29,36784.0,2021-04-06
Metropolitana,Primera,30,38786.0,2021-04-06
Metropolitana,Primera,31,40079.0,2021-04-06
Metropolitana,Primera,32,39680.0,2021-04-06
Metropolitana,Primera,33,38391.0,2021-04-06
Metropolitana,Primera,34,37454.0,2021-04-06
Metropolitana,Primera,35,36126.0,2021-04-06
Metropolitana,Primera,36,35546.0,2021-04-06
Metropolitana,Primera,37,35120.0,2021-04-06
Metropolitana,Primera,38,36720.0,2021-04-06
Metropolitana,Primera,39,37596.0,2021-04-06
Metropolitana,Primera,40,35568.0,2021-04-06
Metropolitana,Primera,41,35312.0,2021-04-06
Metropolitana,Primera,42,34040.0,2021-04-06
Metropolitana,Primera,43,33362.0,2021-04-06
Metropolitana,Primera,44,34215.0,2021-04-06
Metropolitana,Primera,45,35879.0,2021-04-06
Metropolitana,Primera,46,37334.0,2021-04-06
Metropolitana,Primera,47,37556.0,2021-04-06
Metropolitana,Primera,48,38459.0,2021-04-06
Metropolitana,Primera,49,39658.0,2021-04-06
Metropolitana,Primera,50,43653.0,2021-04-06
Metropolitana,Primera,51,58496.0,2021-04-06
Metropolitana,Primera,52,64741.0,2021-04-06
Metropolitana,Primera,53,66126.0,2021-04-06
Metropolitana,Primera,54,68436.0,2021-04-06
Metropolitana,Primera,55,71117.0,2021-04-06
Metropolitana,Primera,56,72854.0,2021-04-06
Metropolitana,Primera,57,73212.0,2021-04-06
Metropolitana,Primera,58,74771.0,2021-04-06
Metropolitana,Primera,59,71528.0,2021-04-06
Metropolitana,Primera,60,72236.0,2021-04-06
Metropolitana,Primera,61,67413.0,2021-04-06
Metropolitana,Primera,62,65623.0,2021-04-06
Metropolitana,Primera,63,64506.0,2021-04-06
Metropolitana,Primera,64,61274.0,2021-04-06
Metropolitana,Primera,65,57948.0,2021-04-06
Metropolitana,Primera,66,52241.0,2021-04-06
Metropolitana,Primera,67,52036.0,2021-04-06
Metropolitana,Primera,68,47608.0,2021-04-06
Metropolitana,Primera,69,44786.0,2021-04-06
Metropolitana,Primera,70,42481.0,2021-04-06
Metropolitana,Primera,71,41579.0,2021-04-06
Metropolitana,Primera,72,40035.0,2021-04-06
Metropolitana,Primera,73,37880.0,2021-04-06
Metropolitana,Primera,74,36055.0,2021-04-06
Metropolitana,Primera,75,33502.0,2021-04-06
Metropolitana,Primera,76,32057.0,2021-04-06
Metropolitana,Primera,77,29177.0,2021-04-06
Metropolitana,Primera,78,27417.0,2021-04-06
Metropolitana,Primera,79,24968.0,2021-04-06
Metropolitana,Primera,80,180939.0,2021-04-06
Metropolitana,Segunda,15,1.0,2021-04-06
Metropolitana,Segunda,16,85.0,2021-04-06
Metropolitana,Segunda,17,166.0,2021-04-06
Metropolitana,Segunda,18,1527.0,2021-04-06
Metropolitana,Segunda,19,2382.0,2021-04-06
Metropolitana,Segunda,20,3574.0,2021-04-06
Metropolitana,Segunda,21,5079.0,2021-04-06
Metropolitana,Segunda,22,7016.0,2021-04-06
Metropolitana,Segunda,23,9333.0,2021-04-06
Metropolitana,Segunda,24,11423.0,2021-04-06
Metropolitana,Segunda,25,13738.0,2021-04-06
Metropolitana,Segunda,26,15571.0,2021-04-06
Metropolitana,Segunda,27,16505.0,2021-04-06
Metropolitana,Segunda,28,17553.0,2021-04-06
Metropolitana,Segunda,29,18149.0,2021-04-06
Metropolitana,Segunda,30,18892.0,2021-04-06
Metropolitana,Segunda,31,19548.0,2021-04-06
Metropolitana,Segunda,32,18927.0,2021-04-06
Metropolitana,Segunda,33,17867.0,2021-04-06
Metropolitana,Segunda,34,17561.0,2021-04-06
Metropolitana,Segunda,35,16672.0,2021-04-06
Metropolitana,Segunda,36,16175.0,2021-04-06
Metropolitana,Segunda,37,15421.0,2021-04-06
Metropolitana,Segunda,38,15892.0,2021-04-06
Metropolitana,Segunda,39,15862.0,2021-04-06
Metropolitana,Segunda,40,14967.0,2021-04-06
Metropolitana,Segunda,41,14212.0,2021-04-06
Metropolitana,Segunda,42,13307.0,2021-04-06
Metropolitana,Segunda,43,12821.0,2021-04-06
Metropolitana,Segunda,44,12767.0,2021-04-06
Metropolitana,Segunda,45,12891.0,2021-04-06
Metropolitana,Segunda,46,13426.0,2021-04-06
Metropolitana,Segunda,47,13022.0,2021-04-06
Metropolitana,Segunda,48,13071.0,2021-04-06
Metropolitana,Segunda,49,12681.0,2021-04-06
Metropolitana,Segunda,50,11997.0,2021-04-06
Metropolitana,Segunda,51,11716.0,2021-04-06
Metropolitana,Segunda,52,11910.0,2021-04-06
Metropolitana,Segunda,53,11965.0,2021-04-06
Metropolitana,Segunda,54,12436.0,2021-04-06
Metropolitana,Segunda,55,13394.0,2021-04-06
Metropolitana,Segunda,56,22824.0,2021-04-06
Metropolitana,Segunda,57,24113.0,2021-04-06
Metropolitana,Segunda,58,27868.0,2021-04-06
Metropolitana,Segunda,59,29129.0,2021-04-06
Metropolitana,Segunda,60,53782.0,2021-04-06
Metropolitana,Segunda,61,53936.0,2021-04-06
Metropolitana,Segunda,62,54695.0,2021-04-06
Metropolitana,Segunda,63,54811.0,2021-04-06
Metropolitana,Segunda,64,52955.0,2021-04-06
Metropolitana,Segunda,65,52791.0,2021-04-06
Metropolitana,Segunda,66,48135.0,2021-04-06
Metropolitana,Segunda,67,48383.0,2021-04-06
Metropolitana,Segunda,68,44409.0,2021-04-06
Metropolitana,Segunda,69,41862.0,2021-04-06
Metropolitana,Segunda,70,39878.0,2021-04-06
Metropolitana,Segunda,71,39296.0,2021-04-06
Metropolitana,Segunda,72,37934.0,2021-04-06
Metropolitana,Segunda,73,35969.0,2021-04-06
Metropolitana,Segunda,74,34194.0,2021-04-06
Metropolitana,Segunda,75,31891.0,2021-04-06
Metropolitana,Segunda,76,30389.0,2021-04-06
Metropolitana,Segunda,77,27685.0,2021-04-06
Metropolitana,Segunda,78,26057.0,2021-04-06
Metropolitana,Segunda,79,23699.0,2021-04-06
Metropolitana,Segunda,80,170995.0,2021-04-06
Aysén,Primera,15,1.0,2021-04-06
Aysén,Primera,16,41.0,2021-04-06
Aysén,Primera,17,47.0,2021-04-06
Aysén,Primera,18,185.0,2021-04-06
Aysén,Primera,19,290.0,2021-04-06
Aysén,Primera,20,208.0,2021-04-06
Aysén,Primera,21,237.0,2021-04-06
Aysén,Primera,22,263.0,2021-04-06
Aysén,Primera,23,315.0,2021-04-06
Aysén,Primera,24,377.0,2021-04-06
Aysén,Primera,25,500.0,2021-04-06
Aysén,Primera,26,505.0,2021-04-06
Aysén,Primera,27,592.0,2021-04-06
Aysén,Primera,28,607.0,2021-04-06
Aysén,Primera,29,686.0,2021-04-06
Aysén,Primera,30,755.0,2021-04-06
Aysén,Primera,31,744.0,2021-04-06
Aysén,Primera,32,793.0,2021-04-06
Aysén,Primera,33,697.0,2021-04-06
Aysén,Primera,34,703.0,2021-04-06
Aysén,Primera,35,710.0,2021-04-06
Aysén,Primera,36,708.0,2021-04-06
Aysén,Primera,37,680.0,2021-04-06
Aysén,Primera,38,684.0,2021-04-06
Aysén,Primera,39,649.0,2021-04-06
Aysén,Primera,40,704.0,2021-04-06
Aysén,Primera,41,639.0,2021-04-06
Aysén,Primera,42,646.0,2021-04-06
Aysén,Primera,43,660.0,2021-04-06
Aysén,Primera,44,601.0,2021-04-06
Aysén,Primera,45,661.0,2021-04-06
Aysén,Primera,46,605.0,2021-04-06
Aysén,Primera,47,642.0,2021-04-06
Aysén,Primera,48,602.0,2021-04-06
Aysén,Primera,49,638.0,2021-04-06
Aysén,Primera,50,616.0,2021-04-06
Aysén,Primera,51,728.0,2021-04-06
Aysén,Primera,52,739.0,2021-04-06
Aysén,Primera,53,775.0,2021-04-06
Aysén,Primera,54,839.0,2021-04-06
Aysén,Primera,55,816.0,2021-04-06
Aysén,Primera,56,795.0,2021-04-06
Aysén,Primera,57,812.0,2021-04-06
Aysén,Primera,58,801.0,2021-04-06
Aysén,Primera,59,853.0,2021-04-06
Aysén,Primera,60,889.0,2021-04-06
Aysén,Primera,61,876.0,2021-04-06
Aysén,Primera,62,806.0,2021-04-06
Aysén,Primera,63,823.0,2021-04-06
Aysén,Primera,64,848.0,2021-04-06
Aysén,Primera,65,807.0,2021-04-06
Aysén,Primera,66,742.0,2021-04-06
Aysén,Primera,67,681.0,2021-04-06
Aysén,Primera,68,700.0,2021-04-06
Aysén,Primera,69,612.0,2021-04-06
Aysén,Primera,70,571.0,2021-04-06
Aysén,Primera,71,517.0,2021-04-06
Aysén,Primera,72,449.0,2021-04-06
Aysén,Primera,73,460.0,2021-04-06
Aysén,Primera,74,423.0,2021-04-06
Aysén,Primera,75,398.0,2021-04-06
Aysén,Primera,76,358.0,2021-04-06
Aysén,Primera,77,339.0,2021-04-06
Aysén,Primera,78,329.0,2021-04-06
Aysén,Primera,79,285.0,2021-04-06
Aysén,Primera,80,1992.0,2021-04-06
Aysén,Segunda,15,0.0,2021-04-06
Aysén,Segunda,16,4.0,2021-04-06
Aysén,Segunda,17,6.0,2021-04-06
Aysén,Segunda,18,68.0,2021-04-06
Aysén,Segunda,19,169.0,2021-04-06
Aysén,Segunda,20,92.0,2021-04-06
Aysén,Segunda,21,104.0,2021-04-06
Aysén,Segunda,22,133.0,2021-04-06
Aysén,Segunda,23,179.0,2021-04-06
Aysén,Segunda,24,222.0,2021-04-06
Aysén,Segunda,25,311.0,2021-04-06
Aysén,Segunda,26,351.0,2021-04-06
Aysén,Segunda,27,407.0,2021-04-06
Aysén,Segunda,28,413.0,2021-04-06
Aysén,Segunda,29,456.0,2021-04-06
Aysén,Segunda,30,519.0,2021-04-06
Aysén,Segunda,31,515.0,2021-04-06
Aysén,Segunda,32,547.0,2021-04-06
Aysén,Segunda,33,497.0,2021-04-06
Aysén,Segunda,34,463.0,2021-04-06
Aysén,Segunda,35,478.0,2021-04-06
